SchemeName,State,Date,Total
Number of applications for Agriculture Schemes,MH,06-08-2020,7869
Number of applications for Agriculture Schemes,CH,07-08-2020,8013
Number of applications for Agriculture Schemes,CH,08-08-2020,10344
Number of applications for Agriculture Schemes,CH,09-08-2020,8943
Number of applications for Agriculture Schemes,CH,10-08-2020,9119
Number of applications for Agriculture Schemes,CH,11-08-2020,9995
Number of applications for Agriculture Schemes,CH,12-08-2020,9736
Number of applications for Agriculture Schemes,CH,13-08-2020,8929
Number of applications for Agriculture Schemes,CH,14-08-2020,8724
Number of applications for Agriculture Schemes,CH,15-08-2020,7770
Number of applications for Agriculture Schemes,CH,16-08-2020,8638
Number of applications for Agriculture Schemes,CH,17-08-2020,2551
Number of applications for Agriculture Schemes,CH,18-08-2020,8375
Number of applications for Agriculture Schemes,CH,19-08-2020,4274
Number of applications for Agriculture Schemes,CH,20-08-2020,5592
Number of applications for Agriculture Schemes,CH,21-08-2020,4871
Number of applications for Agriculture Schemes,CH,22-08-2020,9388
Number of applications for Agriculture Schemes,CH,23-08-2020,9793
Number of applications for Agriculture Schemes,AP,15-01-2021,233456
Number of applications for Agriculture Schemes,AP,15-02-2021,504508
Number of applications for Agriculture Schemes,AP,15-03-2021,628803
Number of applications for Agriculture Schemes,AP,15-04-2021,836054
Number of applications for Agriculture Schemes,AP,16-04-2021,867235
Number of applications for Agriculture Schemes,AP,17-04-2021,768036
Number of applications for Agriculture Schemes,AP,18-04-2021,912096
Number of applications for Agriculture Schemes,AP,19-04-2021,836267
Number of applications for Agriculture Schemes,AP,20-04-2021,856974
Number of applications for Agriculture Schemes,AP,21-04-2021,977855
Number of applications for Agriculture Schemes,AP,22-04-2021,1000675
Number of applications for Agriculture Schemes,AP,23-04-2021,1123980
Number of applications for Agriculture Schemes,AP,24-04-2021,526412
Number of applications for Agriculture Schemes,AP,25-04-2021,728456
Number of applications for Agriculture Schemes,AP,26-04-2021,846748
Number of applications for Agriculture Schemes,AP,27-04-2021,1021656
Number of applications for Agriculture Schemes,AP,28-04-2021,956861
Number of applications for Agriculture Schemes,AP,29-04-2021,943657
Number of applications for Agriculture Schemes,AP,30-04-2021,1072903
Number of applications for Agriculture Schemes,AP,01-05-2021,1034128
Number of applications for Agriculture Schemes,AP,02-05-2021,911897
Number of applications for Agriculture Schemes,AP,03-05-2021,929318
Number of applications for Agriculture Schemes,AP,04-05-2021,806197
Number of applications for Agriculture Schemes,TS,05-05-2021,896531
Number of applications for Agriculture Schemes,TS,06-05-2021,264938
Number of applications for Agriculture Schemes,TS,07-05-2021,342134
Number of applications for Agriculture Schemes,TS,08-05-2021,407710
Number of applications for Agriculture Schemes,TS,09-05-2021,546438
Number of applications for Agriculture Schemes,TS,10-05-2021,504287
Number of applications for Agriculture Schemes,TS,11-05-2021,969982
Number of applications for Agriculture Schemes,TS,21-01-1900,8905241
Number of applications for Agriculture Schemes,TS,13-05-2021,891671
Number of applications for Agriculture Schemes,TS,14-05-2021,816217
Number of applications for Agriculture Schemes,TS,15-05-2021,789457
Number of applications for Agriculture Schemes,TS,16-05-2021,707114
Number of applications for Agriculture Schemes,TS,17-05-2021,980369
Number of applications for Agriculture Schemes,TS,18-05-2021,579791
Number of applications for Agriculture Schemes,TS,19-05-2021,644253
Number of applications for Agriculture Schemes,TS,20-05-2021,754960
Number of applications for Agriculture Schemes,TS,21-05-2021,846514
Number of applications for Agriculture Schemes,TS,22-05-2021,852801
Number of applications for Agriculture Schemes,TS,23-05-2021,928216
Number of applications for Agriculture Schemes,TS,24-05-2021,922437
Number of applications for Agriculture Schemes,TS,25-05-2021,1012085
Number of applications for Agriculture Schemes,TS,26-05-2021,894918
Number of applications for Agriculture Schemes,TS,27-05-2021,855451
Number of applications for Agriculture Schemes,TS,28-05-2021,874404
Number of applications for Agriculture Schemes,TS,29-05-2021,1019534
Number of applications for Agriculture Schemes,TS,30-05-2021,696232
Number of applications for Agriculture Schemes,CH,23-08-2022,9793
Number of applications for Agriculture Schemes,AP,15-01-2022,233456
Number of applications for Agriculture Schemes,AP,15-02-2022,504508
Number of applications for Agriculture Schemes,AP,15-03-2022,5632891
Number of applications for Agriculture Schemes,AP,15-04-2022,836054
Number of applications for Agriculture Schemes,AP,16-04-2022,867235
Number of applications for Agriculture Schemes,AP,17-04-2022,768036
Number of applications for Agriculture Schemes,AP,18-04-2022,912096
Number of applications for Agriculture Schemes,AP,19-04-2022,911461
Number of applications for Agriculture Schemes,AP,20-04-2022,856974
Number of applications for Agriculture Schemes,AP,21-04-2022,977855
Number of applications for Agriculture Schemes,AP,22-04-2022,8864212
Number of applications for Agriculture Schemes,AP,23-04-2022,1123980
Number of applications for Agriculture Schemes,AP,24-04-2022,526412
Number of applications for Agriculture Schemes,AP,25-04-2022,815619
Number of applications for Agriculture Schemes,AP,26-04-2022,846748
Number of applications for Agriculture Schemes,AP,27-04-2022,1021656
Number of applications for Agriculture Schemes,AP,28-04-2022,956861
Number of applications for Agriculture Schemes,AP,29-04-2022,943657
Number of applications for Agriculture Schemes,AP,30-04-2022,1072903
Number of applications for Agriculture Schemes,AP,01-05-2022,92747
Number of applications for Agriculture Schemes,AP,02-05-2022,911897
Number of applications for Agriculture Schemes,AP,03-05-2022,929318
Number of applications for Agriculture Schemes,AP,04-05-2022,806197
Number of applications for Agriculture Schemes,TS,05-05-2022,896531
Number of applications for Agriculture Schemes,TS,06-05-2022,264938
Number of applications for Agriculture Schemes,TS,07-05-2022,342134
Number of applications for Agriculture Schemes,TS,08-05-2022,407710
Number of applications for Agriculture Schemes,TS,09-05-2022,546438
Number of applications for Agriculture Schemes,TS,10-05-2022,504287
Number of applications for Agriculture Schemes,TS,11-05-2022,969982
Number of applications for Agriculture Schemes,TS,21-01-2022,1019089
Number of applications for Agriculture Schemes,TS,13-05-2022,891671
Number of applications for Agriculture Schemes,TS,14-05-2022,816217
Number of applications for Agriculture Schemes,TS,15-05-2022,789457
Number of applications for Agriculture Schemes,TS,16-05-2022,707114
Number of applications for Agriculture Schemes,TS,17-05-2022,980369
Number of applications for Agriculture Schemes,TS,18-05-2022,579791
Number of applications for Agriculture Schemes,TS,19-05-2022,644253
Number of applications for Agriculture Schemes,TS,20-05-2022,754960
Number of applications for Agriculture Schemes,TS,21-05-2022,846514
Number of applications for Agriculture Schemes,TS,22-05-2022,852801
Number of applications for Agriculture Schemes,TS,23-05-2022,928216
Number of applications for Agriculture Schemes,TS,24-05-2022,922437
Number of applications for Agriculture Schemes,TS,25-05-2022,9023541
Number of applications for Agriculture Schemes,TS,26-05-2022,736521
Number of applications for Agriculture Schemes,TS,27-05-2022,855451
Number of applications for Agriculture Schemes,TS,28-05-2022,874404
Number of applications for Agriculture Schemes,TS,29-05-2022,1019534
Number of applications for Agriculture Schemes,TS,30-05-2022,696232
Number of applications for Agriculture Schemes,TS,31-05-2022,247632
